Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups
Adelaide Metro Real-Time Passenger Information,"This link contains Stop Specific Real-Time information for buses, trains and trams for the Adelaide metro network. Real-Time is a free, convenient and easy to use service. Adelaide Metro provides Real-Time information in SIRI and GTFS-R format, for more information see 'Adelaide Metro Developer Group'  below or visit: https://gtfs.adelaidemetro.com.au/. The link provides access to the engine that provides Real-Time supply of the data. The link is not for downloading data. Please refer to Adelaide_Metro_Realtime_Information_Developer_Information.PDF for further instructions.",dataset,English,Creative Commons Attribution,active,Linked,daily,/data/dataset/e794a379-fbf5-457f-b195-7a0be974cc69,2013-05-23T01:50:38.773169,2020-02-19T00:35:06.052612,Pete.McKenna@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Bus, Transport, Travel","transport-travel-and-motoring, developer-portal"
"Adelaide plan 40 feet to 1 inch, fire insurance maps, 1911-1914","Set of detailed fire insurance maps from the State Library of South Australias map collections. The map set covers part of the City of Adelaide, South Australia and was surveyed and drawn 1911-1914 by John Reid Ferguson for the Fire Underwriters' Association of South Australia. 

Scale approximately 1:480.  Includes parts of North Terrace, King William Street, Rundle Street (Mall), Adelaide Arcade, Gawler Place, Grenfell street, Pulteney Street, Hindmarsh Square, Pirie Street, Flinders Street and Hindley Street.  Shows land use including building usage, some street numbers and business names.
This dataset consists of 21 map files in JPEG & PDF versions.",dataset,English,Creative Commons Attribution,active,Hosted,never,/data/dataset/c2b6d9a4-9b7e-42bd-9cba-856320e2e139,2014-06-22T16:20:16.664531,2016-06-06T05:46:02.528493,peter.jenkins@sa.gov.au,N/A,1911-1914,,"Partial coverage of the northern area of South Adelaide, City of Adelaide, South Australia",Government of South Australia,data.sa.gov.au,State Library of South Australia,"adelaide, cadastre, city of adelaide, fire insurance, history, land use, map, planning, south adelaide, south australia","arts-culture-history, housing-land-planning-and-infrastructure"
Adelaide Public Transport Stop Data,"The dataset contains public transport stop data for buses, trains and trams in shapefile, geojson and kml format.",dataset,English,Creative Commons Attribution,active,Linked,weekly,/data/dataset/0d2f65f9-4386-4352-b46e-1259ebc06afe,2013-08-26T06:57:11.151783,2020-02-24T01:58:43.909881,DPTI.OpenData@sa.gov.au ,Data based on aggregate level,2014-01-01,current,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","bus, bus stops, esri, public transport, shapefile, stops, trains, trams",transport-travel-and-motoring
SA Health Public Hospital Inpatient Admissions from Emergency Departments,"Inpatient Admissions after attending Emergency Department, for public metropolitan and major country hospitals by quarter",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/e22a6f7c-81d8-4872-8dbe-725fc62690e7,2015-06-26T06:29:01.870965,2018-09-04T05:18:38.409653,dataandreportingservices@sa.gov.au,Total number of admissions from emergency department by hospital by quarter,2012-07-01,2018-06-30,Metropolitan Adelaide and major country towns,Government of South Australia,data.sa.gov.au,SA Health,"Admissions, Emergency department, Public hospital",
Aerial Imagery - Greater Adelaide 1949,"Orthorectified mosaicked black & white images from the Aerial Film Archive  covering the greater metropolitan area of Adelaide including the Fleurieu Peninsula and parts of the South Australian Murray Darling Basin.

Aerial photography was originally captured between January and March in 1949 using an Eagle 4 camera. 

Imagery is available for the following regions: Adelaide, Adelaide Airport, Gawler, Glenelg, Lefevre Peninsula Port Adelaide, Murray Mouth, Victor Harbor.",dataset,English,Creative Commons Attribution,active,Linked,Once off,/data/dataset/dd965573-9283-4f9c-894a-3445744e3ed7,2016-06-23T05:11:19.465843,2016-07-05T01:43:42.984330,datasa@sa.gov.au,,1949-01-01,,See Metadata,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"aerial photographs, historical, imagery, local history, Photography","arts-culture-history, water-energy-resources-environment-and-science"
AFCT Consultant Data,Adelaide Festival Centre Trust's consultant figures,dataset,English,License Not Specified,active,Hosted,annually,/data/dataset/e19acdef-d4c1-4c3b-9bcb-0728f1f85a04,2017-09-28T09:27:56.126787,2019-09-27T04:30:35.896779,heather.poole@adelaidefestivalcentre.com.au,,2011-07-01,2019-06-30,South Australia,Government of South Australia,data.sa.gov.au,Adelaide Festival Centre Trust,consultants,government-reporting-and-policy
AFCT Contractor Data,"A summary of external contractors engaged by the agency, the nature of work undertaken and the total cost of the work undertaken.",dataset,English,Creative Commons Attribution-NoDerivs,active,Linked,asRequired,/data/dataset/13a421bb-d500-45fc-8603-c9c6a6132dfe,2018-09-27T03:20:31.109340,2019-09-27T04:32:04.280319,heather.poole@adelaidefestivalcentre.com.au,,2017-07-01,2019-06-30,South Australia,Government of South Australia,data.sa.gov.au,Adelaide Festival Centre Trust,contractors,
AFCT Executive Employment,Adelaide Festival Centre Trust's Executive Employment data,dataset,English,License Not Specified,active,Linked,annually,/data/dataset/4d9ff4b5-f1e8-475e-a053-3e9c9f98c42d,2017-09-28T09:23:06.041893,2019-09-27T04:33:47.579590,heather.poole@adelaidefestivalcentre.com.au,,2011-2017,2019-06-30,South Australia,Government of South Australia,data.sa.gov.au,Adelaide Festival Centre Trust,"employment data, executive",government-reporting-and-policy
AFCT Fraud Detected,Fraud detected ,dataset,English,License Not Specified,active,Linked,annually,/data/dataset/c0808c91-557b-44e2-a4f3-7866cf73f74c,2017-09-28T09:12:12.032429,2019-09-27T04:37:02.328744,heather.poole@adelaidefestivalcentre.com.au,,2011-2017,2019-06-30,South Australia,Government of South Australia,data.sa.gov.au,Adelaide Festival Centre Trust,fraud,government-reporting-and-policy
AFCT Summary of Complaints,Summary of complaints (by subject) made to Adelaide Festival Centre Trust over financial years.,dataset,English,License Not Specified,active,Linked,annually,/data/dataset/13ce16b1-4258-4d54-bc61-4218465d6c3c,2017-09-28T09:01:22.279904,2019-09-27T04:45:53.897750,heather.poole@adelaidefestivalcentre.com.au,,2011-2017,2019-06-30,South Australia,Government of South Australia,data.sa.gov.au,Adelaide Festival Centre Trust,feedback,government-reporting-and-policy
AFCT Whistleblower's Disclosure,Adelaide Festival Centre Trust's Whistleblower's Disclosure data,dataset,English,License Not Specified,active,Linked,annually,/data/dataset/f4389ffc-6ad4-4ea4-82fe-94bc59d18e8e,2017-09-28T09:17:50.015929,2019-09-27T04:35:25.165437,heather.poole@adelaidefestivalcentre.com.au,,2011-2017,2019-06-30,South Australia,Government of South Australia,data.sa.gov.au,Adelaide Festival Centre Trust,whistleblower,government-reporting-and-policy
AFCT Work health and safety,Work health and safety and return to work performance,dataset,English,Creative Commons Attribution,active,Hosted,asRequired,/data/dataset/81266c98-ca3b-422f-8c88-8e5f116ced3f,2018-09-27T03:23:35.191321,2019-09-27T04:27:39.380345,heather.poole@adelaidefestivalcentre.com.au,,2017-07-01,2019-06-30,South Australia,Government of South Australia,data.sa.gov.au,Adelaide Festival Centre Trust,,
Agricultural Commodities,"This publication contains final estimates of land use, crop and horticultural area and production, livestock numbers and farm management and demographic information for Australia, states and territories.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/ac3468ca-69d0-409e-9a0f-fc8a424f8d13,2013-04-15T05:04:27.533891,2017-01-23T03:38:50.858309,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,ABS (SA Data),"agriculture, crops, economic, horticulture, land use, livestock, statistics",business-industry-and-trade
Agriculture Residues,"ABS released data contains final estimates for data items collected in the 201415 Rural Environment and Agricultural Commodities Survey (REACS). The statistics on crop and horticultural area and production were used to estimate biomass volumes for the Australian Biomass for Bioenergy Assessment Project.

Agriculture data includes Cereal Straw, Non Cereal Straw and Hay & Silage.

The Drought Minimum and Bumper Maximum has been calculated by using the total tonnage of a drought/bumper year as a percentage of the total tonnage of an average year and applying these percentages to the total for each region. (41% and 158% respectively).

See RenewablesSA website for more information including metadata and data sources. 
http://www.renewablessa.sa.gov.au/investor-information/bio-energy-roadmap/biomass-for-bioenergy-assessment",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/635e3e83-ba41-45f0-8c7c-d33aac3e8312,2019-08-20T02:15:00.700969,2020-06-11T02:45:31.395494,resources.customerservices@sa.gov.au,SA4,2014-06-30,2015-06-30,South Australia,Government of South Australia,data.sa.gov.au,Department for Energy and Mining,"Agriculture, Bioenergy, Biomass, Energy, Organic residue, SA-CC, SA-CH, SA-COTH",
Air Quality Monitoring Sites,"The EPA conducts air quality monitoring at various locations throughout metropolitan Adelaide and in Port Pire and Whyalla.

This spatial data includes the locations of the monitoring sites, the types of pollutants monitored and URL links to recent air quality data (where available).

Further information:
http://www.epa.sa.gov.au/data_and_publications/air_quality_monitoring
",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/a768c1f5-9714-4576-90bd-9dddaaa66ce4,2015-01-15T23:25:15.796669,2020-01-16T06:50:12.112570,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Environment Protection Authority (EPA),"air pollution, air quality, community, environment, pollutants, pollution, quality",water-energy-resources-environment-and-science
Alinytjara Wilurara NRM Board Annual Report Data,Alinytjara Wilurara NRM Board Annual Report,dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/fca41c8b-d5f7-4f84-a69d-cda01abfedca,2017-07-21T05:56:42.386619,2019-02-22T00:08:21.793077,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"environment, government","water-energy-resources-environment-and-science, government-reporting-and-policy"
Soil Alkalinity,"Alkalinity is usually an inherent characteristic of soils, and alkaline soils are largely confined to areas with less than 400 mm annual rainfall. Mapping shows surface and subsoil alkailinty, while detailed proportion data are supplied for calculating respective areas of each alkalinity class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/data/dataset/4dd6d3d7-98f3-458a-849e-38fb38680d77,2016-06-09T02:29:59.252476,2020-02-18T23:27:45.155100,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"agriculture, land use, soil, soil and land attribute data, soil attributes, soil mapping",water-energy-resources-environment-and-science
